id,category_id,name,reference,description,unit,price_includes_iva,min_order_qty,notes,active,search_text
b4844d3c-db6a-4e5b-becb-c053c9be0740,fdd2ffbe-0b96-4759-b89d-eaef48a7f3d5,Manilla VIP,,Manilla tipo VIP para eventos,unidad,False,,,True,Manillas VIP - Manilla VIP - Manilla tipo VIP para eventos
9acc680b-e4b2-4252-beac-5c842ebbbd86,6fce638c-143b-41e0-b1af-2526b880e1c9,Pad Mouse Ergonómico,,Precios 2025,unidad,False,,,True,Pad Mouse - Pad Mouse Ergonómico - Precios 2025
52e3941b-7f4f-488e-884a-7ce53858e6df,6fce638c-143b-41e0-b1af-2526b880e1c9,Pad Mouse Plano,,Precios 2025,unidad,False,,,True,Pad Mouse - Pad Mouse Plano - Precios 2025
a1bde3d1-78ef-43b5-96ec-3b3f412a384b,2ac298f2-23b2-4086-9397-b1e1e55de0ff,Llavero Plastisol,,Llavero en plastisol. Tamaño máximo incluido 6x4cm; medidas mayores o troqueles especiales tienen costo adicional.,unidad,False,,Llaveros que se pasen de 6x4cm o con troquel especial: costo adicional a consultar.,True,Llaveros Plastisol - Llavero Plastisol - Llavero en plastisol. Tamaño máximo incluido 6x4cm; medidas mayores o troqueles especiales tienen costo adicional.
3429595c-1e8b-437d-9f07-031505639661,2ac298f2-23b2-4086-9397-b1e1e55de0ff,Llavero Manilla con Jinsus,,"Llavero tipo manilla, medidas 1.5cm de ancho, 21cm de largo total, armado 10.5cm.",unidad,False,,,True,"Llaveros Plastisol - Llavero Manilla con Jinsus - Llavero tipo manilla, medidas 1.5cm de ancho, 21cm de largo total, armado 10.5cm."
a6d33d99-a5d1-4ba5-af75-af47e11b925d,2ac298f2-23b2-4086-9397-b1e1e55de0ff,Servicio de Tampografía sobre Llavero (cliente suministra el llavero),,Marcación 1 tinta sobre llavero liso provisto por el cliente.,unidad,False,,,True,Llaveros Plastisol - Servicio de Tampografía sobre Llavero (cliente suministra el llavero) - Marcación 1 tinta sobre llavero liso provisto por el cliente.
7b5e7031-16dc-4db8-9502-46282110d2aa,cae01b2f-a424-47c4-952b-345f94a1d6fc,Manilla Plastisol,,Manilla en plastisol con marcación.,unidad,False,,"Manillas anchas (2.5cm de ancho, hasta 22cm de largo): medidas mayores tienen costo adicional.",True,Manillas Plastisol - Manilla Plastisol - Manilla en plastisol con marcación.
a36b889a-6f15-4197-84f7-b08af7a76fc1,cae01b2f-a424-47c4-952b-345f94a1d6fc,Servicio de Tampografía sobre Manilla Lisa (cliente suministra la manilla),,Marcación 1 tinta sobre manilla lisa provista por el cliente.,unidad,False,,,True,Manillas Plastisol - Servicio de Tampografía sobre Manilla Lisa (cliente suministra la manilla) - Marcación 1 tinta sobre manilla lisa provista por el cliente.
4f761378-b6f1-4da4-990f-0d50bbc12594,edd5143f-1bbb-4850-bfc5-21bae4c41294,Manilla Cerrada Silicona Grabada,,,unidad,False,,Precios no incluyen IVA. Manilla fosforescente: +$560. Grabados o impresiones adicionales: consultar precio.,True,Manilla Cerrada Silicona - Manilla Cerrada Silicona Grabada -
a2260ef5-fb43-41a2-8ac9-6edddedd15cc,edd5143f-1bbb-4850-bfc5-21bae4c41294,Manilla Cerrada Silicona Impresa,,,unidad,False,,Precios no incluyen IVA. Manilla fosforescente: +$560. Grabados o impresiones adicionales: consultar precio.,True,Manilla Cerrada Silicona - Manilla Cerrada Silicona Impresa -
c8ecc239-16b8-4c52-809c-e484a07b7591,5b2d83e0-137f-4ec0-a32e-103e47f8f906,"Botón 2,5 cm",,"Botón publicitario tamaño 2,5 cm",unidad,False,,,True,"Botones - Botón 2,5 cm - Botón publicitario tamaño 2,5 cm"
32a13ced-af03-452f-ab4b-eb375d50c639,5b2d83e0-137f-4ec0-a32e-103e47f8f906,"Botón 3,2 cm",,"Botón publicitario tamaño 3,2 cm",unidad,False,,,True,"Botones - Botón 3,2 cm - Botón publicitario tamaño 3,2 cm"
80b0c413-33bb-48e9-bb00-bcb396648444,5b2d83e0-137f-4ec0-a32e-103e47f8f906,"Botón 4,5 cm",,"Botón publicitario tamaño 4,5 cm",unidad,False,,,True,"Botones - Botón 4,5 cm - Botón publicitario tamaño 4,5 cm"
c7812272-e604-4a3f-b2dd-f2791765b030,5b2d83e0-137f-4ec0-a32e-103e47f8f906,"Botón 5,5 cm",,"Botón publicitario tamaño 5,5 cm",unidad,False,,,True,"Botones - Botón 5,5 cm - Botón publicitario tamaño 5,5 cm"
e2add6e8-1957-4959-88b9-b9998c02f5c5,5b2d83e0-137f-4ec0-a32e-103e47f8f906,"Botón 6,5 cm",,"Botón publicitario tamaño 6,5 cm",unidad,False,,,True,"Botones - Botón 6,5 cm - Botón publicitario tamaño 6,5 cm"
